Movie Name,stars,votes,genre,Gross ,popularity,Certification,genre1,genre2,genre3,star1,star2,star3,star4
12 Rounds,"John Cena, Ashley Scott, Aidan Gillen, Steve Harris",29866,"Action, Crime, Thriller","12,232,937",-,PG-13,Action, Crime, Thriller,John Cena, Ashley Scott, Aidan Gillen, Steve Harris
The Contract,"John Cusack, Morgan Freeman, Jamie Anderson, Alice Krige",25658,"Action, Crime, Drama",,-,R,Action, Crime, Drama,John Cusack, Morgan Freeman, Jamie Anderson, Alice Krige
Bang Bang,"Hrithik Roshan, Katrina Kaif, Pawan Malhotra, Danny Denzongpa",25220,"Action, Adventure, Comedy","2,546,172",-,Not Rated,Action, Adventure, Comedy,Hrithik Roshan, Katrina Kaif, Pawan Malhotra, Danny Denzongpa
Ek Tha Tiger,"Salman Khan, Katrina Kaif, Girish Karnad, Roshan Seth",36525,"Action, Adventure, Romance","2,347,774",-,Not Rated,Action, Adventure, Romance,Salman Khan, Katrina Kaif, Girish Karnad, Roshan Seth
Baywatch,"Dwayne Johnson, Zac Efron, Alexandra Daddario, Priyanka Chopra Jonas",195326,"Action, Comedy, Crime","58,060,186",452,R,Action, Comedy, Crime,Dwayne Johnson, Zac Efron, Alexandra Daddario, Priyanka Chopra Jonas
Shotgun Wedding,"Jennifer Lopez, Josh Duhamel, Lenny Kravitz, Jennifer Coolidge",33190,"Action, Comedy, Romance",,1017,R,Action, Comedy, Romance,Jennifer Lopez, Josh Duhamel, Lenny Kravitz, Jennifer Coolidge
Infinite,"Mark Wahlberg, Chiwetel Ejiofor, Sophie Cookson, Dylan O'Brien",56117,"Action, Sci-Fi, Thriller",,1790,PG-13,Action, Sci-Fi, Thriller,Mark Wahlberg, Chiwetel Ejiofor, Sophie Cookson, Dylan O'Brien
Spiderhead,"Chris Hemsworth, Miles Teller, Jurnee Smollett, Mark Paguio",63045,"Action, Crime, Drama",,1916,R,Action, Crime, Drama,Chris Hemsworth, Miles Teller, Jurnee Smollett, Mark Paguio
Willy's Wonderland,"Nicolas Cage, Emily Tosta, Beth Grant, Ric Reitz",33963,"Action, Comedy, Horror",,2227,TV-MA,Action, Comedy, Horror,Nicolas Cage, Emily Tosta, Beth Grant, Ric Reitz
The Core,"Aaron Eckhart, Hilary Swank, Delroy Lindo, Bruce Greenwood",104959,"Action, Adventure, Sci-Fi","31,186,896",2366,PG-13,Action, Adventure, Sci-Fi,Aaron Eckhart, Hilary Swank, Delroy Lindo, Bruce Greenwood
Green Lantern,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong",291071,"Action, Adventure, Sci-Fi","116,601,172",2386,PG-13,Action, Adventure, Sci-Fi,Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong
The Scorpion King,"Dwayne Johnson, Steven Brand, Michael Clarke Duncan, Kelly Hu",142655,"Action, Adventure, Fantasy","91,047,077",2479,PG-13,Action, Adventure, Fantasy,Dwayne Johnson, Steven Brand, Michael Clarke Duncan, Kelly Hu
Snakes on a Plane,"Samuel L. Jackson, Julianna Margulies, Nathan Phillips, Rachel Blanchard",142538,"Action, Adventure, Crime","34,020,814",2498,R,Action, Adventure, Crime,Samuel L. Jackson, Julianna Margulies, Nathan Phillips, Rachel Blanchard
George of the Jungle,"Brendan Fraser, Leslie Mann, Thomas Haden Church, Richard Roundtree",82179,"Action, Adventure, Comedy","105,263,257",2780,PG,Action, Adventure, Comedy,Brendan Fraser, Leslie Mann, Thomas Haden Church, Richard Roundtree
Peninsula,"Koo Kyo-hwan, Gang Dong-won, Lee Jung-hyun, Jang So-yeon",35574,"Action, Horror, Thriller","1,231,407",3774,Not Rated,Action, Horror, Thriller,Koo Kyo-hwan, Gang Dong-won, Lee Jung-hyun, Jang So-yeon
The Cloverfield Paradox,"Gugu Mbatha-Raw, David Oyelowo, Daniel Brühl, John Ortiz",109664,"Action, Adventure, Horror",,4034,PG-13,Action, Adventure, Horror,Gugu Mbatha-Raw, David Oyelowo, Daniel Brühl, John Ortiz
Resident Evil: The Final Chapter,"Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts",98095,"Action, Horror, Sci-Fi","26,830,068",4139,R,Action, Horror, Sci-Fi,Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts
